,Name,y,x,Date,Sort
0,Monument to Carl Linnaeus,55.966842,-3.207415,1778.0,Public art
1,Charles II,55.9492,-3.1905,1685.0,Public art
2,Monument to John Playfair,55.9548,-3.1830000000000003,1825.0,Public art
3,Monument to Dugald Stewart,55.9545,-3.1845,1831.0,Public art
4,Monument to Robert Burns,55.9535,-3.1783,1831.0,Public art
5,Political Martyrs' Monument,55.9534,-3.1858,1844.0,Public art
6,Scottish-American Soldiers' Monument,55.9535,-3.1861,1893.0,Public art
7,Covenanters’ Memorial,55.90468,-3.238737,1885.0,Public art
8,Mausoleum of William Henry Miller,55.9571,-3.1372,1848.0,Public art
9,Robert Burns,55.9754,-3.1668,1897.0,Public art
10,"John Hope, 4th Earl of Hopetoun",55.9545,-3.1917,1834.0,Public art
11,"Monument to Henry Dundas, 1st Viscount Melville",55.9542,-3.1932,1817.0,Public art
12,George IV,55.9535,-3.1973,1825.0,Public art
13,William Pitt the Younger,55.953,-3.2004,1831.0,Public art
14,"Memorial to Albert, Prince Consort",55.9518,-3.2077,1862.0,Public art
15,Monument to Catherine Sinclair,55.9532,-3.2076,1866.0,Public art
16,Thomas Chalmers,55.9525,-3.2035,1869.0,Public art
17,Alexander and Bucephalus,55.9501,-3.1903,1829.0,Public art
18,"Prince Frederick, Duke of York and Albany",55.9489,-3.1979,1837.0,Public art
19,78th Highlanders Memorial,55.949,-3.1969,1861.0,Public art
20,Greyfriars Bobby Fountain,55.9469,-3.1913,1873.0,Public art
21,Monument to Colonel Douglas Mackenzie,55.9489,-3.1974,1875.0,Public art
22,72nd Highlanders Memorial,55.9489,-3.1981,1882.0,Public art
23,"Queensberry Memorial to Walter Montagu Douglas Scott, 5th Duke of Buccleuch",55.9495,-3.1917,1885.0,Public art
24,William Chambers,55.94738,-3.1897900000000003,1888.0,Public art
25,John Knox,55.9496,-3.1951,1896.0,Public art
26,Sir Walter Scott,55.952399,-3.193304,1848.0,Public art
27,"Arthur Wellesley, 1st Duke of Wellington",55.9535,-3.1892,1848.0,Public art
28,Allan Ramsay,55.9517,-3.1973,1850.0,Public art
29,The genius of architecture crowning the theory and practice of art,55.951,-3.1983,1862.0,Public art
30,Ross Fountain,55.95005,-3.202994,1862.0,Public art
31,John Wilson,55.9521,-3.1951,1863.0,Public art
32,David Livingstone,55.9525,-3.1927,1875.0,Public art
33,Adam Black,55.9522,-3.1944,1876.0,Public art
34,Sir James Young Simpson,55.9504,-3.205,1877.0,Public art
35,Memorial to Dean Edward Bannerman Ramsay,55.950264,-3.205931,1877.0,Public art
36,James Watt,55.9093,-3.3200300000000005,1854.0,Public art
37,Middle Meadow Walk Gatepiers,55.9453,-3.1911,1840.0,Public art
38,Melville Drive (east end) Ornamental Pillars,55.9403,-3.1833,1880.0,Public art
39,Memorial to Archbishop Archibald Tait,55.944818,-3.19043,1884.0,Public art
40,Brassfounders’ Pillar,55.946,-3.1854,1886.0,Public art
41,Masons’ Pillars,55.942,-3.2003,1886.0,Public art
42,Prince Albert Victor Sundial,55.9418,-3.1988,1886.0,Public art
43,McEwan Lantern Pillar,55.945346,-3.188812,1890.0,Public art
44,Statue of David Brewster,55.921773,-3.1717604,1877.0,Public art
45,"Robert Dundas, 2nd Viscount Melville",55.9497,-3.2139,1857.0,Public art
46,Startled Horse Rising,55.864532,-3.200328,1833.0,Public art
47,William Dick ,55.865794,-3.2010389999999997,1883.0,Public art
48,Ascending Form (Gloria),55.964916,-3.2043779999999997,1958.0,Public art
49,Rock Form (Porthcurno),55.964718,-3.206889,1964.0,Public art
50,Umbra solis,55.96508,-3.210991,1975.0,Public art
51,"Slate, Hole, Wall",55.962917,-3.211345,1990.0,Public art
52,Cone,55.96511,-3.209825,1990.0,Public art
53,Untitled,55.965167,-3.2098150000000003,1995.0,Public art
54,East Gates,55.964789,-3.2038279999999997,1996.0,Public art
55,Queen Victoria,55.9707,-3.1717,1907.0,Public art
56,Sandy Irvine Robertson OBE,55.978,-3.16933,1999.0,Public art
57,King's Own Scottish Borderers Memorial,55.9517,-3.1881,1906.0,Public art
58,The Manuscript of Monte Cassino,55.956388,-3.1873810000000002,1991.0,Public art
59,Memorial to Sir Arthur Conan Doyle,55.956837,-3.18675,1991.0,Public art
60,Horse Rider Eagle,55.95941,-3.2042040000000003,1996.0,Public art
61,Scottish Horse Boer War Memorial,55.9489,-3.1974,1905.0,Public art
62,Black Watch Boer War Memorial,55.9501,-3.1945,1908.0,Public art
63,King Edward VII,55.9529,-3.1736,1922.0,Public art
64,"Field Marshal Douglas Haig, 1st Earl Haig",55.948862,-3.201779,1923.0,Public art
65,Robert the Bruce,55.948551,-3.198598,1929.0,Public art
66,William Wallace,55.948577,-3.198598,1929.0,Public art
67,Covenanters’ Memorial,55.947827,-3.194772,1937.0,Public art
68,David Hume,55.94956,-3.192625,1995.0,Public art
69,Memorial to Susannah Alice Stephen,55.949548,-3.19422,2000.0,Public art
70,Royal Scots Greys Memorial,55.9514,-3.1994,1906.0,Public art
71,Thomas Guthrie,55.9508,-3.2026,1907.0,Public art
72,Scots American War Memorial,55.950556,-3.2019439999999997,1923.0,Public art
73,Royal Scots Memorial,55.9511,-3.1973,1948.0,Public art
74,Norwegian War Memorial,55.950229,-3.202055,1978.0,Public art
75,Memorial to Robert Louis Stevenson,55.95,-3.2023,1987.0,Public art
76,Spanish Brigade Memorial,55.950678,-3.194904,1988.0,Public art
77,The Wealth of Nations,55.933225,-3.3077739999999998,1993.0,Public art
78,Concrete Jungle,55.938706,-3.314168,1994.0,Public art
79,Stacked Spades,55.938103,-3.3169519999999997,1994.0,Public art
80,Figure in a Landscape,55.937589,-3.3144669999999996,1994.0,Public art
81,Veil,55.937226,-3.312775,1994.0,Public art
82,Fossil Tree,55.936979,-3.3113620000000004,1994.0,Public art
83,Two Constellations for a Column,55.936903,-3.314972,1994.0,Public art
84,Scottish Writers,55.933042,-3.316653,1990.0,Public art
85,King Edward VII,55.9752,-3.1910000000000003,1914.0,Public art
86,Memorial to William Ewart Gladstone,55.9485,-3.2123,1902.0,Public art
87,Woman and Child,55.9469,-3.2062,1985.0,Public art
88,Horse & Rider,55.948145,-3.208686,1993.0,Public art
89,La Vierge d'Alsace(The Virgin of Alsace),55.9514,-3.222946,1919.0,Public art
90,Reclining Figure,55.950759,-3.2271259999999997,1951.0,Public art
91,Master of the Universe,55.951299,-3.224912,1989.0,Public art
92,The Dreamer ,55.94388266,-3.188728092,1997.0,Public art
93,Orbis,55.94361556,-3.189746575,1989.0,Public art
94,Old College War Memorial  ,55.947339,-3.18785,1923.0,Public art
95,Golden Boy ,55.947591,-3.186359,1988.0,Public art
96,ECA War Memorial,55.945964,-3.198636,1922.0,Public art
97,The Protégé ,55.938167,-3.1696880000000003,1998.0,Public art
98,Untitled ,55.938532,-3.169644,1989.0,Public art
99,Let my Blood be the Seed of My Freedom ,55.93726,-3.1711099999999997,1992.0,Public art
100,Egeria ,55.92259605,-3.1750005480000003,1997.0,Public art
101,Parthenope,55.92259304,-3.17530632,1997.0,Public art
102,Ashworth Reliefs,55.923971,-3.172765,1927.0,Public art
103,Sanderson Relief,55.923035,-3.171533,1929.0,Public art
104,Geology ,55.924015,-3.174405,1931.0,Public art
105,Crew Building Relief,55.923065,-3.17752,1926.0,Public art
106,Sprinting Afghan Hound,55.864975,-3.201746,1996.0,Public art
107,Untitled Mural,55.97364409,-3.17058848,1984.0,Street art
108,Swanfield Mural,55.971693,-3.176815,1986.0,Street art
109,Stones of Scotland Circle,55.9549,-3.1745,2002.0,Public art
110,Memorial to Robert Louis Stevenson,55.908597,-3.256297,2013.0,Public art
111,Memorial to Army pipers killed in conflict,55.909542,-3.249274,2013.0,Public art
112,Alan Breck Stewart & David Balfour. Characters from Kidnapped,55.94503,-3.249841,2004.0,Public art
113,Nils Olav (penguin soldier),55.944117,-3.271337,2005.0,Public art
114,The Cramond Fish,55.979722,-3.294227,2009.0,Public art
115,6 Times,55.9836,-3.17636,2010.0,Public art
116,Dreaming Spires,55.956344,-3.186225,2005.0,Public art
117,Lion of Scotland,55.954623,-3.193084,2006.0,Public art
118,James Clerk Maxwell,55.954053,-3.194381,2006.0,Public art
119,Adam Smith,55.949764,-3.190069,2003.0,Public art
120,Robert Fergusson,55.951574,-3.179363,2004.0,Public art
121,James Braidwood,55.949495,-3.190013,2006.0,Public art
122,Work No. 1059,55.951215,-3.18866,2011.0,Public art
123,William Henry Playfair,55.94757,-3.18893,2016.0,Public art
124,Bum the Dog (of San Diego),55.948417,-3.203388,2008.0,Public art
