,Name,y,x,Date,Sort
16,Ascending Form (Gloria),55.964916,-3.2043779999999997,1958.0,Public art
17,Rock Form (Porthcurno),55.964718,-3.206889,1964.0,Public art
18,Umbra solis,55.96508,-3.210991,1975.0,Public art
19,"Slate, Hole, Wall",55.962917,-3.211345,1990.0,Public art
20,Cone,55.96511,-3.209825,1990.0,Public art
21,Untitled,55.965167,-3.2098150000000003,1995.0,Public art
22,East Gates,55.964789,-3.2038279999999997,1996.0,Public art
24,Queen Victoria,55.9707,-3.1717,1907.0,Public art
26,Sandy Irvine Robertson OBE,55.978,-3.16933,1999.0,Public art
34,King's Own Scottish Borderers Memorial,55.9517,-3.1881,1906.0,Public art
35,The Manuscript of Monte Cassino,55.956388,-3.1873810000000002,1991.0,Public art
36,Memorial to Sir Arthur Conan Doyle,55.956837,-3.18675,1991.0,Public art
37,Horse Rider Eagle,55.95941,-3.2042040000000003,1996.0,Public art
52,Scottish Horse Boer War Memorial,55.9489,-3.1974,1905.0,Public art
53,Black Watch Boer War Memorial,55.9501,-3.1945,1908.0,Public art
54,King Edward VII,55.9529,-3.1736,1922.0,Public art
55,"Field Marshal Douglas Haig, 1st Earl Haig",55.948862,-3.201779,1923.0,Public art
56,Robert the Bruce,55.948551,-3.198598,1929.0,Public art
57,William Wallace,55.948577,-3.198598,1929.0,Public art
58,Covenanters’ Memorial,55.947827,-3.194772,1937.0,Public art
59,David Hume,55.94956,-3.192625,1995.0,Public art
60,Memorial to Susannah Alice Stephen,55.949548,-3.19422,2000.0,Public art
77,Royal Scots Greys Memorial,55.9514,-3.1994,1906.0,Public art
78,Thomas Guthrie,55.9508,-3.2026,1907.0,Public art
79,Scots American War Memorial,55.950556,-3.2019439999999997,1923.0,Public art
80,Royal Scots Memorial,55.9511,-3.1973,1948.0,Public art
81,Norwegian War Memorial,55.950229,-3.202055,1978.0,Public art
82,Memorial to Robert Louis Stevenson,55.95,-3.2023,1987.0,Public art
83,Spanish Brigade Memorial,55.950678,-3.194904,1988.0,Public art
88,The Wealth of Nations,55.933225,-3.3077739999999998,1993.0,Public art
92,Concrete Jungle,55.938706,-3.314168,1994.0,Public art
93,Stacked Spades,55.938103,-3.3169519999999997,1994.0,Public art
94,Figure in a Landscape,55.937589,-3.3144669999999996,1994.0,Public art
95,Veil,55.937226,-3.312775,1994.0,Public art
96,Fossil Tree,55.936979,-3.3113620000000004,1994.0,Public art
97,Two Constellations for a Column,55.936903,-3.314972,1994.0,Public art
98,Scottish Writers,55.933042,-3.316653,1990.0,Public art
109,King Edward VII,55.9752,-3.1910000000000003,1914.0,Public art
111,Memorial to William Ewart Gladstone,55.9485,-3.2123,1902.0,Public art
112,Woman and Child,55.9469,-3.2062,1985.0,Public art
114,Horse & Rider,55.948145,-3.208686,1993.0,Public art
115,La Vierge d'Alsace(The Virgin of Alsace),55.9514,-3.222946,1919.0,Public art
116,Reclining Figure,55.950759,-3.2271259999999997,1951.0,Public art
117,Master of the Universe,55.951299,-3.224912,1989.0,Public art
124,The Dreamer ,55.94388266,-3.188728092,1997.0,Public art
125,Orbis,55.94361556,-3.189746575,1989.0,Public art
128,Old College War Memorial  ,55.947339,-3.18785,1923.0,Public art
129,Golden Boy ,55.947591,-3.186359,1988.0,Public art
131,ECA War Memorial,55.945964,-3.198636,1922.0,Public art
133,The Protégé ,55.938167,-3.1696880000000003,1998.0,Public art
134,Untitled ,55.938532,-3.169644,1989.0,Public art
135,Let my Blood be the Seed of My Freedom ,55.93726,-3.1711099999999997,1992.0,Public art
137,Egeria ,55.92259605,-3.1750005480000003,1997.0,Public art
138,Parthenope,55.92259304,-3.17530632,1997.0,Public art
139,Ashworth Reliefs,55.923971,-3.172765,1927.0,Public art
140,Sanderson Relief,55.923035,-3.171533,1929.0,Public art
141,Geology ,55.924015,-3.174405,1931.0,Public art
142,Crew Building Relief,55.923065,-3.17752,1926.0,Public art
145,Sprinting Afghan Hound,55.864975,-3.201746,1996.0,Public art
18,Untitled Mural,55.97364409,-3.17058848,1984.0,Street art
21,Swanfield Mural,55.971693,-3.176815,1986.0,Street art
