,Name,y,x,Date,Sort
0,Monument to John Playfair,55.9548,-3.1830000000000003,1825.0,Public art
1,Monument to Dugald Stewart,55.9545,-3.1845,1831.0,Public art
2,Monument to Robert Burns,55.9535,-3.1783,1831.0,Public art
3,Political Martyrs' Monument,55.9534,-3.1858,1844.0,Public art
4,Scottish-American Soldiers' Monument,55.9535,-3.1861,1893.0,Public art
5,Stones of Scotland Circle,55.9549,-3.1745,2002.0,Public art
7,Covenanters’ Memorial,55.90468,-3.238737,1885.0,Public art
8,Memorial to Robert Louis Stevenson,55.908597,-3.256297,2013.0,Public art
9,Memorial to Army pipers killed in conflict,55.909542,-3.249274,2013.0,Public art
10,Alan Breck Stewart & David Balfour. Characters from Kidnapped,55.94503,-3.249841,2004.0,Public art
11,Gencoo Penguin,55.944123,-3.271327,,Public art
12,Nils Olav (penguin soldier),55.944117,-3.271337,2005.0,Public art
13,Mausoleum of William Henry Miller,55.9571,-3.1372,1848.0,Public art
14,The Cramond Fish,55.979722,-3.294227,2009.0,Public art
15,Monument to Carl Linnaeus,55.966842,-3.207415,1778.0,Public art
16,Ascending Form (Gloria),55.964916,-3.2043779999999997,1958.0,Public art
17,Rock Form (Porthcurno),55.964718,-3.206889,1964.0,Public art
18,Umbra solis,55.96508,-3.210991,1975.0,Public art
19,"Slate, Hole, Wall",55.962917,-3.211345,1990.0,Public art
20,Cone,55.96511,-3.209825,1990.0,Public art
21,Untitled,55.965167,-3.2098150000000003,1995.0,Public art
22,East Gates,55.964789,-3.2038279999999997,1996.0,Public art
23,Robert Burns,55.9754,-3.1668,1897.0,Public art
24,Queen Victoria,55.9707,-3.1717,1907.0,Public art
25,6 Times,55.9836,-3.17636,2010.0,Public art
26,Sandy Irvine Robertson OBE,55.978,-3.16933,1999.0,Public art
27,"John Hope, 4th Earl of Hopetoun",55.9545,-3.1917,1834.0,Public art
28,"Monument to Henry Dundas, 1st Viscount Melville",55.9542,-3.1932,1817.0,Public art
29,George IV,55.9535,-3.1973,1825.0,Public art
30,William Pitt the Younger,55.953,-3.2004,1831.0,Public art
31,"Memorial to Albert, Prince Consort",55.9518,-3.2077,1862.0,Public art
32,Monument to Catherine Sinclair,55.9532,-3.2076,1866.0,Public art
33,Thomas Chalmers,55.9525,-3.2035,1869.0,Public art
34,King's Own Scottish Borderers Memorial,55.9517,-3.1881,1906.0,Public art
35,The Manuscript of Monte Cassino,55.956388,-3.1873810000000002,1991.0,Public art
36,Memorial to Sir Arthur Conan Doyle,55.956837,-3.18675,1991.0,Public art
37,Horse Rider Eagle,55.95941,-3.2042040000000003,1996.0,Public art
38,Dreaming Spires,55.956344,-3.186225,2005.0,Public art
39,Lion of Scotland,55.954623,-3.193084,2006.0,Public art
40,James Clerk Maxwell,55.954053,-3.194381,2006.0,Public art
42,Charles II,55.9492,-3.1905,1685.0,Public art
43,Alexander and Bucephalus,55.9501,-3.1903,1829.0,Public art
44,"Prince Frederick, Duke of York and Albany",55.9489,-3.1979,1837.0,Public art
45,78th Highlanders Memorial,55.949,-3.1969,1861.0,Public art
46,Greyfriars Bobby Fountain,55.9469,-3.1913,1873.0,Public art
