Link to source,Name,Category,Sub category,Organisation,Type,Summary - Temporal event,Address,Website,y,x
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Melvillle Monument,Edinburgh and slavery,Monument,,Statue,"Statue of Henry Dundas, an extremely prominent politician in the 18th and 19th centuries whose campaigning was influential in delaying the abolition of slavery. Around the square and across the New Town, there are many residences and commercial buildings which were once owned by Scots with investments linked to the slave trade.","Edinburgh New Town, Edinburgh, EH2 2LL",https://www.ewh.org.uk,55.954389,-3.193092
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Dundas House (Royal Bank of Scotland),Edinburgh and slavery,Commercial building,Royal Bank of Scotland,Architecture,Former home of members of Henry Dundas' family.,"36 St Andrew Square, Edinburgh, EH2 2AD",,55.954825,-3.191756
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Statue of John Hope,Edinburgh and slavery,Monument,,Statue,John Hope was the nephew of Henry Dundas's second wife. He played a role in putting down a slave revolution in Grenada which lasted from 1795-6.,"36 St Andrew Square, Edinburgh, EH2 2AD",,55.954648,-3.192073
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Bute House,Edinburgh and slavery,Public building,Official residence of the First Minister,Architecture,"Home to John Crawford, who inherited Bellfield sugar plantation in Jamaica at age five. From 1806 Bute House was home to Sir John Sinclair, who claimed compensation for 610 slaves on his St Vincent plantation in 1833, but passed away before the payment was received.","5 Charlotte Square, Edinburgh, EH2 4DR",,55.95261,-3.208339
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Assembly Rooms,Edinburgh and slavery,Public building,,Architecture,"Frederick Douglass, who was born into slavery in Maryland and escaped to New York in 1838, published his autobiography 'Narrative of the Life of Frederick Douglass, an American Slave' in 1845. He toured Britiain in 1846-7 and spoke at the Assembly Rooms in 1846.","54 George Street, Edinburgh, EH2 2LR",https://www.assemblyroomsedinburgh.co.uk,55.952904,-3.198557
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Commemorative Plaque celebrating Frederick Douglass,Edinburgh and slavery,Monument,,Plaque,"During his time in Scotland organising anti-slavery campaigns and speeches, Frederick Douglass lived at this address in Bruntsfield.","33 Gilmore Place, Edinburgh, EH3 9NG",,55.941717,-3.205568
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Writer's Museum,Edinburgh and slavery,Public building,Museums and Galleries Edinburgh,Architecture,"The Writer's Museum was once the residence of Lady Stair, who was the first known Edinburgh resident to have an African servant living in her house in 1740.","Lawnmarket, Lady Stair's Close, Edinburgh, EH1 2PA",https://www.edinburghmuseums.org.uk,55.949641,-3.193864
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Jock's Lodge,Edinburgh and slavery,Public space,,Open space,Enslaved people of African and Indian descent lived in Edinburgh from the 17th to early 19th centuries. They would be sent to the city as apprentices to learn a trade and were known to meet and socialise at Jock's Lodge.,"Edinburgh, EH8 7DB",,55.955042,-3.149201
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",St John's Church graveyard,Edinburgh and slavery,Public space,St John's Church,Open space,"Malvina Wells was a mixed race woman, born in Grenada in 1804, who was brough to Edinburgh with the McCrae family in her teens. She worked for the McCrae family and others in the city until her death at the age of 84. She is buried in St John's Church graveyard and hers is only known grave in Edinburgh of someone who was born enslaved.","1A Lothian Road, Edinburgh, EH1 2AB",https://www.stjohns-edinburgh.org.uk,55.950086,-3.206617
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Court of Session,Edinburgh and slavery,Public building,Scottish Courts,Architecture,"Several important cases of runaway slaves attempting to secure their freedom were held at the Court of Session. The Tumbling Lassie case of a gymnast forced to perform before running away was settledin her favour  in 1687, when it was declared that there were no slaves in Scotland. James Montgomery escaped a ship bound for Virginia in Port Glasgow and went to Edinburgh, but died in jail before his case was decided in 1756. In 1769, David Spens sued David Dalrymple for wrongful arrest for his trying to leave service due to ill health. Dalrymple died during the suit so Spens was automatically freed. In 1778, in a landmark case between Joseph Knight and John Wedderburn – inspired by the English Somerset v Stewart case in 1772, which prevented forced removal of slaves from England to the colonies – Knight successfully argued that slavery was not supported by Scots law. This meant runaway slaves and those who wished to leave service were now protected and could not be sent to Carribean estates against their will.","Parliament House, Parliament Square, Edinburgh, EH1 1RQ",https://www.scotcourts.gov.uk,55.948764,-3.189866
"Lisa Williams, Edinburgh Carribean Association 2018 https://blog.historicenvironment.scot/2018/11/edinburghs-part-slave-trade/",Site of commemorative Plaque celebrating John Edmonstone,Edinburgh and slavery,Monument,,Plaque,"John Edmonstone, enslaved in Guyana, moved with Charles Edmonstone to Scotland in 1807. He moved to Edinburgh as a free man, taught taxidermy at The University of Edinburgh and lived at 37 Lothian Street. While Charles Darwin was studying at Edinburgh, he lived at 11 Lothian Street, and Darwin employed Edmonstone to teach him taxidermy as well as the flora and fauna of South America. In 2009, a plaque commemorating Edmonstone was made in the style of Wedgwood family's anti-slavery brooches (these prominent anti-slavery campaigners were also related to Darwin) and placed on the street. However, the plaque has disappeared without trace. A plaque commemorating Darwin's residence on Lothian Street remains outside the National Museum of Scotland.","Lothian Street, Edinburgh, EH1 1HE",,55.946849,-3.188285
City of Edinburgh Council https://www.ourtownstories.co.uk/story/1213,The Port of Leith,Edinburgh and slavery,Public space,,Open space,"Between two and four ships per year left the Port of Leith for Charleston, New York, Boston, Jamaica and Grenada. Ship owners included the Lord Provost of Edinburgh William Alexander.","Western Harbour Drive, Leith, Edinburgh, EH6 6PG",,55.989157,-3.18477
City of Edinburgh Council https://www.ourtownstories.co.uk/story/1213,Former site of James Gillespie's tobacco shop,Edinburgh and slavery,Monument,,Architecture; Plaque,James Gillespie was a tobacco and snuff merchant who sold tobacco imported from Virginia. The money he made was used to build the school which still carries his name.,"231 High Street, Edinburgh, EH1 1PE",,55.950222,-3.189201
City of Edinburgh Council https://www.ourtownstories.co.uk/story/1213,Sugarhouse Close,Edinburgh and slavery,Public space,,Architecture,"The Edinburgh Sugar House Company was one of several sugar refining factories in Edinburgh and Leith, established in 1752, refining sugar imported from Jamaica and the West Indies.","Sugarhouse Close, Canongate, Edinburgh, EH8 8DF",,55.951347,-3.180001
City of Edinburgh Council https://www.ourtownstories.co.uk/story/1213,Statue of Robert Burns,Edinburgh and slavery,Monument,,Statue,"Robert Burns was due to travel to Jamaica in 1783 to be a bookeeper on an estate, but the success of his poetry persuaded him to remain in Scotland.","37 Constitution Street, Leith, Edinburgh, EH6 7BG",,55.975395,-3.166744
City of Edinburgh Council https://www.ourtownstories.co.uk/story/1213,The Old Royal Infirmary,Edinburgh and slavery,Public building,,Architecture,"In 1750 Dr Archibald Kerr, an Edinburgh resident based in Jamaica, left the Royal Infirmary of Edinburgh estates in Jamaica which included 39 slaves.","Lauriston Place, Edinburgh, EH3 9AU",,55.944991,-3.193016
City of Edinburgh Council https://www.ourtownstories.co.uk/story/1200,St Bernard's Well,Edinburgh and slavery,Monument; Anti-slavery,,Architecture,Lord Gardenstone purchased St Bernard's Well in 1789. He was an anti-slavery campaigner and leader of the Edinburgh Committee for the Abolition of the Slave Trade. He was one of the judges on the Knight v. Wedderburn case in 1778 and voted in favour of Jospeh Knight's freedom.,"MacKenzie Place, Edinburgh, EH3 6TS",,55.955298,-3.211496
City of Edinburgh Council https://www.ourtownstories.co.uk/story/1200,Buchan House,Edinburgh and slavery,Commercial building; Anti-slavery,Malmaison Hotel,Architecture,"Henry Brougham was a lawyer, journalist and MP who campaigned against slavery in Parliament.  He write the pamphlet ‘A Concise Statement of the Question Regarding the Abolition of the Slave Trade’ which was distributed before MPs voted on the Slave Trade Abolition Bill in May 1804. He was born at 21 St Andrew Square.","21 St Andrew Square, Edinburgh, EH2 1AY",,55.954864,-3.194234
City of Edinburgh Council https://www.ourtownstories.co.uk/story/1200,West Register House,Edinburgh and slavery,Public building; Anti-slavery,,Architecture,"Dr Andrew Thompson was an abolitionist and the first minister of St George’s Church, now West Register House. His speeches inspired the Edinburgh Anti-Slavery Society to call for the immediate abolition of slavery in British colonies.","17 Charlotte Square, Edinburgh, EH2 4DF",https://www.nrscotland.gov.uk,55.951563,-3.208847
